Areaname,STCOU,PST035195D,IPE120205D,CRM160205D
"Onslow, NC",37133,147258,17.6,25
"Orange, NC",37135,108479,13.9,118
"Pamlico, NC",37137,12045,16.7,2
"Pasquotank, NC",37139,33315,18.9,42
"Pender, NC",37141,35194,16.2,11
"Perquimans, NC",37143,10661,18.1,13
"Person, NC",37145,32950,13.6,25
"Pitt, NC",37147,122525,21.9,224
"Polk, NC",37149,16544,11.3,3
"Randolph, NC",37151,117474,14.6,56
"Richmond, NC",37153,45731,23.8,44
"Robeson, NC",37155,114936,32,288
"Rockingham, NC",37157,89251,14.8,62
"Rowan, NC",37159,120783,15.1,131
"Rutherford, NC",37161,60103,16.3,38
"Sampson, NC",37163,53752,19.2,41
"Scotland, NC",37165,35021,26.3,63
"Stanly, NC",37167,54799,15.1,33
"Stokes, NC",37169,41170,11,12
"Surry, NC",37171,66828,16.3,24
"Swain, NC",37173,12011,16.8,0
"Transylvania, NC",37175,27304,13,3
"Tyrrell, NC",37177,3851,28,6
"Union, NC",37179,100597,10.5,73
"Vance, NC",37181,40609,23,86
"Wake, NC",37183,526599,10.4,925
"Warren, NC",37185,18515,25.4,9
"Washington, NC",37187,14313,24.8,3
"Watauga, NC",37189,40569,21.8,4
"Wayne, NC",37191,111578,17.3,145
"Wilkes, NC",37193,61825,15.4,25
"Wilson, NC",37195,69546,20.6,62
"Yadkin, NC",37197,33555,12.3,10
"Yancey, NC",37199,16574,18.4,0
NORTH DAKOTA,38000,647832,11.6,45
"Adams, ND",38001,2814,11.5,0
"Barnes, ND",38003,12092,10.7,0
"Benson, ND",38005,7022,28.8,0
"Billings, ND",38007,1072,10.3,0
"Bottineau, ND",38009,7580,11.7,0
"Bowman, ND",38011,3234,8.3,0
"Burke, ND",38013,2555,12.4,0
"Burleigh, ND",38015,65585,8.5,8
"Cass, ND",38017,113643,10.4,13
"Cavalier, ND",38019,5408,10.7,0
"Dickey, ND",38021,5823,13.3,0
"Divide, ND",38023,2591,11.7,0
"Dunn, ND",38025,3856,13,0
"Eddy, ND",38027,2889,10.9,0
"Emmons, ND",38029,4579,15.1,0
"Foster, ND",38031,3940,8.2,0
"Golden Valley, ND",38033,2031,13.2,0
"Grand Forks, ND",38035,72941,12.6,6
"Grant, ND",38037,3189,17.4,0
"Griggs, ND",38039,3061,10.1,0
"Hettinger, ND",38041,2985,12.7,0
"Kidder, ND",38043,3058,15.7,0
"LaMoure, ND",38045,5005,11.4,0
"Logan, ND",38047,2502,12.6,0
"McHenry, ND",38049,6239,14.7,0
"McIntosh, ND",38051,3726,15.2,0
"McKenzie, ND",38053,5891,15.8,0
"McLean, ND",38055,9802,12.8,0
"Mercer, ND",38057,9197,7.4,0
"Morton, ND",38059,24703,10.6,3
"Mountrail, ND",38061,6958,15.4,0
"Nelson, ND",38063,4056,10,0
"Oliver, ND",38065,2154,10.8,0
"Pembina, ND",38067,8961,9.8,0
"Pierce, ND",38069,4854,13.3,0
"Ramsey, ND",38071,12674,12.7,3
"Ransom, ND",38073,5894,9.8,0
"Renville, ND",38075,2777,10.1,0
"Richland, ND",38077,18357,10.3,0
"Rolette, ND",38079,13577,25.9,0
"Sargent, ND",38081,4547,7.4,0
"Sheridan, ND",38083,1949,19.9,0
"Sioux, ND",38085,3913,41.4,0
"Slope, ND",38087,780,12,0
"Stark, ND",38089,22645,10.6,3
"Steele, ND",38091,2341,7.8,0
"Stutsman, ND",38093,21920,11.8,2
"Towner, ND",38095,3253,9.8,0
"Traill, ND",38097,8635,9.1,0
"Walsh, ND",38099,13366,11.4,1
"Ward, ND",38101,59281,10.2,5
"Wells, ND",38103,5347,12.7,0
"Williams, ND",38105,20580,12.2,1
OHIO,39000,11202751,13,17651
"Adams, OH",39001,26823,20.5,4
"Allen, OH",39003,109841,13.4,140
"Ashland, OH",39005,50581,12.7,10
"Ashtabula, OH",39007,101821,15.3,2
"Athens, OH",39009,60881,31.5,4
"Auglaize, OH",39011,46454,7.1,4
"Belmont, OH",39013,70049,16.1,5
"Brown, OH",39015,38746,14.1,3
"Butler, OH",39017,318290,11.8,412
"Carroll, OH",39019,27890,12.6,0
"Champaign, OH",39021,37644,9.1,6
"Clark, OH",39023,147289,15,300
"Clermont, OH",39025,165351,8.4,36
"Clinton, OH",39027,37643,10.9,13
"Columbiana, OH",39029,111625,15.3,12
"Coshocton, OH",39031,36297,12.4,0
"Crawford, OH",39033,47516,11.2,5
"Cuyahoga, OH",39035,1422616,17.1,4236
"Darke, OH",39037,53792,8.6,7
"Defiance, OH",39039,39923,8.4,4
"Delaware, OH",39041,82849,4.5,52
"Erie, OH",39043,79613,11.6,57
"Fairfield, OH",39045,114410,7.7,88
"Fayette, OH",39047,28258,13.4,13
"Franklin, OH",39049,1026057,14.7,4078
"Fulton, OH",39051,40527,7.1,3
"Gallia, OH",39053,31307,22.8,9
"Geauga, OH",39055,84815,5.4,3
"Greene, OH",39057,145481,9.4,75
"Guernsey, OH",39059,40080,17.2,12
"Hamilton, OH",39061,865970,14,2812
"Hancock, OH",39063,69158,9.6,27
"Hardin, OH",39065,31719,15.4,5
"Harrison, OH",39067,15853,15,3
"Henry, OH",39069,29421,7.1,1
"Highland, OH",39071,38691,12.3,8
"Hocking, OH",39073,27443,15.5,5
"Holmes, OH",39075,36326,11.5,0
"Huron, OH",39077,58030,10.9,3
"Jackson, OH",39079,31934,16.5,1
"Jefferson, OH",39081,78630,16.3,40
"Knox, OH",39083,51094,11.6,0
"Lake, OH",39085,224790,7.8,67
"Lawrence, OH",39087,62858,20.3,0
"Licking, OH",39089,136880,10.2,83
"Logan, OH",39091,44700,11.4,15
"Lorain, OH",39093,281085,11.7,163
"Lucas, OH",39095,458890,17.5,1361
"Madison, OH",39097,40326,9.7,4
"Mahoning, OH",39099,264804,14.3,438
"Marion, OH",39101,67783,14.7,34
"Medina, OH",39103,136897,5.4,3
"Meigs, OH",39105,23451,19.9,1
"Mercer, OH",39107,40695,7.2,2
"Miami, OH",39109,96629,8.2,22
"Monroe, OH",39111,15196,18.3,0
"Montgomery, OH",39113,573498,14.7,988
"Morgan, OH",39115,14794,18,0
"Morrow, OH",39117,29588,9.9,0
"Muskingum, OH",39119,83797,15.2,53
"Noble, OH",39121,11837,14.5,0
"Ottawa, OH",39123,40466,7.3,0
"Paulding, OH",39125,20405,9.1,1
"Perry, OH",39127,33298,14.1,3
"Pickaway, OH",39129,52253,11.3,12
"Pike, OH",39131,26493,21.4,2
"Portage, OH",39133,147895,10.9,58
"Preble, OH",39135,41524,8.7,6
"Putnam, OH",39137,34758,6,0
"Richland, OH",39139,128217,12.1,115
"Ross, OH",39141,72645,14.5,41
"Sandusky, OH",39143,62788,8.9,34
"Scioto, OH",39145,80644,25.3,130
"Seneca, OH",39147,59665,10.8,4
"Shelby, OH",39149,46851,9.2,0
"Stark, OH",39151,377034,12,488
"Summit, OH",39153,534251,11.6,745
"Trumbull, OH",39155,229158,11.5,164
"Tuscarawas, OH",39157,88318,9.6,4
"Union, OH",39159,36308,6.2,10
"Van Wert, OH",39161,30252,7.2,5
"Vinton, OH",39163,12187,20.6,2
"Warren, OH",39165,130526,5,25
"Washington, OH",39167,64047,13.3,9
"Wayne, OH",39169,107344,10.5,6
"Williams, OH",39171,38663,9.2,2
"Wood, OH",39173,116887,11.5,34
"Wyandot, OH",39175,22638,6.8,0
OKLAHOMA,40000,3308208,16.4,3229
"Adair, OK",40001,19933,22.4,1
"Alfalfa, OK",40003,6275,16,0
"Atoka, OK",40005,13553,22.8,4
"Beaver, OK",40007,5908,12.2,0
"Beckham, OK",40009,18969,17.5,3
"Blaine, OK",40011,11821,21.7,0
"Bryan, OK",40013,34370,21.9,12
"Caddo, OK",40015,30327,21.2,10
"Canadian, OK",40017,81245,8.6,86
"Carter, OK",40019,44488,17,30
"Cherokee, OK",40021,38324,21.2,13
"Choctaw, OK",40023,15351,27.6,9
"Cimarron, OK",40025,3162,17.1,0
"Cleveland, OK",40027,192741,11.6,186
"Coal, OK",40029,5958,24.2,1
"Comanche, OK",40031,116713,17.6,137
"Cotton, OK",40033,6699,18,2
"Craig, OK",40035,14462,16.1,2
"Creek, OK",40037,64053,13,17
"Custer, OK",40039,26609,20.2,8
"Delaware, OK",40041,33028,19.1,1
"Dewey, OK",40043,5079,14.1,0
"Ellis, OK",40045,4178,12.9,0
"Garfield, OK",40047,57939,14,32
"Garvin, OK",40049,26856,16.6,10
"Grady, OK",40051,43399,16.6,9
"Grant, OK",40053,5428,14.6,1
"Greer, OK",40055,6459,24.8,0
"Harmon, OK",40057,3578,28.2,1
"Harper, OK",40059,3801,10.6,0
"Haskell, OK",40061,11406,21.8,0
"Hughes, OK",40063,12970,27.2,2
"Jackson, OK",40065,30034,19.8,12
"Jefferson, OK",40067,7042,22,2
"Johnston, OK",40069,10245,20.4,0
"Kay, OK",40071,48659,18.1,21
"Kingfisher, OK",40073,13593,10.4,0
"Kiowa, OK",40075,10874,20.7,3
"Latimer, OK",40077,10528,20.2,1
"Le Flore, OK",40079,46268,22.8,5
"Lincoln, OK",40081,30431,14.6,4
"Logan, OK",40083,31618,13,8
"Love, OK",40085,8462,14.6,0
"McClain, OK",40087,25535,11.5,5
"McCurtain, OK",40089,34147,24.2,8
"McIntosh, OK",40091,18456,20.6,6
"Major, OK",40093,7646,12.8,0
"Marshall, OK",40095,12155,16.9,1
"Mayes, OK",40097,35872,15.6,6
"Murray, OK",40099,12299,14.8,2
"Muskogee, OK",40101,69217,19.9,55
"Noble, OK",40103,11352,14.5,2
"Nowata, OK",40105,10107,15.5,0
"Okfuskee, OK",40107,11537,24.3,2
"Oklahoma, OK",40109,634374,17.6,1152
"Okmulgee, OK",40111,38056,24.4,15
"Osage, OK",40113,43071,15.5,18
"Ottawa, OK",40115,31830,18.9,16
"Pawnee, OK",40117,15773,16.1,1
"Payne, OK",40119,64803,25.9,13
"Pittsburg, OK",40121,43501,18.1,16
"Pontotoc, OK",40123,34818,18.3,13
"Pottawatomie, OK",40125,61635,18.6,39
"Pushmataha, OK",40127,11417,24.1,1
"Roger Mills, OK",40129,3735,12,0
"Rogers, OK",40131,61246,8,8
"Seminole, OK",40133,25158,24.2,10
"Sequoyah, OK",40135,36368,20.6,8
"Stephens, OK",40137,43000,15.9,9
"Texas, OK",40139,17313,13.3,5
"Tillman, OK",40141,9690,23.5,6
"Tulsa, OK",40143,531124,14.2,1154
"Wagoner, OK",40145,52402,10.7,11
"Washington, OK",40147,48312,13.2,13
"Washita, OK",40149,11585,15.7,0
"Woods, OK",40151,9048,16.3,0
"Woodward, OK",40153,18790,12.5,1
OREGON,41000,3184369,14.1,2471
"Baker, OR",41001,16691,18.9,3
"Benton, OR",41003,76517,15.9,23
"Clackamas, OR",41005,314922,8.9,147
"Clatsop, OR",41007,35527,13.9,13
"Columbia, OR",41009,40576,10.5,1
"Coos, OR",41011,63549,19.6,15
"Crook, OR",41013,16843,13.7,0
"Curry, OR",41015,21009,13.1,5
"Deschutes, OR",41017,95491,8.7,34
"Douglas, OR",41019,98874,13.6,34
"Gilliam, OR",41021,1799,10.9,2
"Grant, OR",41023,8042,15.3,0
"Harney, OR",41025,7238,14.5,1
"Hood River, OR",41027,18916,15.3,1
"Jackson, OR",41029,167378,13.6,77
"Jefferson, OR",41031,16949,15.8,2
"Josephine, OR",41033,71313,15.9,26
"Klamath, OR",41035,61132,20.3,45
"Lake, OR",41037,7484,18.1,0
"Lane, OR",41039,306704,16.2,190
"Lincoln, OR",41041,44112,19.1,13
"Linn, OR",41043,98853,15.1,44
"Malheur, OR",41045,29550,21.3,9
"Marion, OR",41047,260879,15.4,185
"Morrow, OR",41049,9075,16.1,1
"Multnomah, OR",41051,629617,17.3,1305
"Polk, OR",41053,56759,15.4,24
"Sherman, OR",41055,1988,16.3,0
"Tillamook, OR",41057,23593,13.5,5
"Umatilla, OR",41059,65535,15.5,26
"Union, OR",41061,24931,14.7,6
"Wallowa, OR",41063,7504,13.7,1
"Wasco, OR",41065,23011,14.7,6
"Washington, OR",41067,384335,9.7,203
"Wheeler, OR",41069,1565,17.5,0
"Yamhill, OR",41071,76108,13,24
PENNSYLVANIA,42000,12198403,11.9,18654
"Adams, PA",42001,85063,7.6,14
"Allegheny, PA",42003,1322460,12.3,2207
"Armstrong, PA",42005,73978,13.6,12
"Beaver, PA",42007,187479,10.7,122
"Bedford, PA",42009,49183,13.7,4
"Berks, PA",42011,357193,11.1,461
"Blair, PA",42013,131802,14,88
"Bradford, PA",42015,62402,14,6
"Bucks, PA",42017,573851,5.6,307
"Butler, PA",42019,165415,8.4,27
"Cambria, PA",42021,159892,13.5,57
"Cameron, PA",42023,6017,11.9,0
"Carbon, PA",42025,58619,9.8,5
"Centre, PA",42027,131951,20.1,15
"Chester, PA",42029,402908,5.8,171
"Clarion, PA",42031,42385,15.5,3
"Clearfield, PA",42033,80774,15.5,8
"Clinton, PA",42035,37643,13.4,5
"Columbia, PA",42037,64521,12.6,7
"Crawford, PA",42039,89334,13.7,17
"Cumberland, PA",42041,207256,7.3,79
"Dauphin, PA",42043,248589,10.4,634
"Delaware, PA",42045,553374,9.6,687
"Elk, PA",42047,35637,8.6,3
"Erie, PA",42049,282127,14.2,246
"Fayette, PA",42051,148871,17.5,119
"Forest, PA",42053,4892,16.9,1
"Franklin, PA",42055,126479,8.6,55
"Fulton, PA",42057,14219,9.8,5
"Greene, PA",42059,40814,17.9,10
"Huntingdon, PA",42061,45200,12.8,5
"Indiana, PA",42063,91323,16.7,29
"Jefferson, PA",42065,46485,13.7,5
"Juniata, PA",42067,21844,9.8,7
"Lackawanna, PA",42069,219059,13.3,112
"Lancaster, PA",42071,451817,9,303
"Lawrence, PA",42073,96300,12.9,95
"Lebanon, PA",42075,117809,7.3,82
"Lehigh, PA",42077,302867,10.7,630
"Luzerne, PA",42079,329395,12.7,235
"Lycoming, PA",42081,121825,12.6,69
"McKean, PA",42083,47508,14.1,1
"Mercer, PA",42085,121633,12.1,44
"Mifflin, PA",42087,46663,15.7,15
"Monroe, PA",42089,119070,9.4,90
"Montgomery, PA",42091,716829,5,614
"Montour, PA",42093,18491,10.4,4
"Northampton, PA",42095,259243,7.3,164
"Northumberland, PA",42097,97011,12.3,13
"Perry, PA",42099,42958,8.3,5
"Philadelphia, PA",42101,1556146,24.2,10069
"Pike, PA",42103,38510,8.5,7
"Potter, PA",42105,17484,13.4,0
"Schuylkill, PA",42107,154513,12.1,19
"Snyder, PA",42109,37539,10.8,2
"Somerset, PA",42111,79926,13.3,4
"Sullivan, PA",42113,6357,12,0
"Susquehanna, PA",42115,41772,16.1,5
"Tioga, PA",42117,41220,14,3
"Union, PA",42119,41127,9.7,1
"Venango, PA",42121,59171,14.9,14
"Warren, PA",42123,44971,11.5,6
"Washington, PA",42125,205707,10.1,102
"Wayne, PA",42127,44791,11.4,5
"Westmoreland, PA",42129,376188,8.8,125
"Wyoming, PA",42131,28526,11.1,2
"York, PA",42133,365997,7.8,393
RHODE ISLAND,44000,1017002,11.9,774
"Bristol, RI",44001,49750,6.5,4
"Kent, RI",44003,164106,6.8,41
"Newport, RI",44005,83717,7.1,21
"Providence, RI",44007,603282,15.4,701
"Washington, RI",44009,116147,6.6,5
SOUTH CAROLINA,45000,3748582,15.6,5642
"Abbeville, SC",45001,24941,19.2,6
"Aiken, SC",45003,135769,15.4,99
"Allendale, SC",45005,11760,38.3,6
"Anderson, SC",45007,154937,15.6,162
"Bamberg, SC",45009,17012,27.2,10
"Barnwell, SC",45011,22353,23.3,12
"Beaufort, SC",45013,104703,11.5,213
"Berkeley, SC",45015,134165,13.4,180
"Calhoun, SC",45017,13824,15,3
"Charleston, SC",45019,300950,15.5,911
"Cherokee, SC",45021,48216,16.2,43
"Chester, SC",45023,32466,19.2,21
"Chesterfield, SC",45025,40371,22,23
"Clarendon, SC",45027,30238,23.1,37
"Colleton, SC",45029,36708,22.3,41
"Darlington, SC",45031,65223,21.2,95
"Dillon, SC",45033,30142,24.7,59
"Dorchester, SC",45035,87077,11.2,97
"Edgefield, SC",45037,21704,17.8,5
"Fairfield, SC",45039,22748,19.7,16
"Florence, SC",45041,122555,17.4,352
"Georgetown, SC",45043,50847,17,48
"Greenville, SC",45045,347370,12.9,623
"Greenwood, SC",45047,63715,16.1,61
"Hampton, SC",45049,20178,23.9,14
"Horry, SC",45051,164138,15.2,413
"Jasper, SC",45053,17511,24.8,42
"Kershaw, SC",45055,47660,13.6,45
"Lancaster, SC",45057,57290,14.5,59
"Laurens, SC",45059,63479,16.7,44
"Lee, SC",45061,20163,28,15
"Lexington, SC",45063,193548,11.7,208
"McCormick, SC",45065,9467,19.9,4
"Marion, SC",45067,35526,24.6,29
"Marlboro, SC",45069,29690,24.4,37
"Newberry, SC",45071,34732,16.8,9
"Oconee, SC",45073,61707,11.2,24
"Orangeburg, SC",45075,89511,23.7,133
"Pickens, SC",45077,102763,13.7,25
"Richland, SC",45079,303364,14.3,698
"Saluda, SC",45081,18014,18.1,6
"Spartanburg, SC",45083,241114,15.3,308
"Sumter, SC",45085,105852,18,171
"Union, SC",45087,30538,16.3,20
"Williamsburg, SC",45089,37502,29.7,36
"York, SC",45091,145041,12,179
SOUTH DAKOTA,46000,737925,13.6,157
"Aurora, SD",46003,3117,11.3,0
"Beadle, SD",46005,18364,12.1,0
"Bennett, SD",46007,3470,34.2,0
"Bon Homme, SD",46009,7162,14.1,0
"Brookings, SD",46011,27450,15.8,0
"Brown, SD",46013,36104,11.6,1
"Brule, SD",46015,5498,12.4,0
"Buffalo, SD",46017,1961,39.3,0
"Butte, SD",46019,9090,13.4,0
"Campbell, SD",46021,1883,12.1,0
"Charles Mix, SD",46023,9487,30.2,1
"Clark, SD",46025,4319,13.6,0
"Clay, SD",46027,13888,21.6,0
"Codington, SD",46029,25078,10.3,0
"Corson, SD",46031,4266,41.9,0
"Custer, SD",46033,6782,10.3,0
"Davison, SD",46035,18121,11.5,1
"Day, SD",46037,6770,14,0
"Deuel, SD",46039,4506,9.2,0
"Dewey, SD",46041,5731,28.3,0
"Douglas, SD",46043,3582,13.4,0
"Edmunds, SD",46045,4463,11.2,0
"Fall River, SD",46047,7502,14.7,0
"Faulk, SD",46049,2675,12.3,0
"Grant, SD",46051,8170,10.3,0
"Gregory, SD",46053,5129,17.3,0
"Haakon, SD",46055,2489,11.2,0
"Hamlin, SD",46057,5390,10.6,0
"Hand, SD",46059,4000,9.7,0
"Hanson, SD",46061,2964,9.5,0
"Harding, SD",46063,1485,14.4,0
"Hughes, SD",46065,15997,8.9,2
"Hutchinson, SD",46067,8127,12.6,0
"Hyde, SD",46069,1722,12.4,0
"Jackson, SD",46071,2906,32.8,0
"Jerauld, SD",46073,2442,13.9,0
"Jones, SD",46075,1297,14.7,0
"Kingsbury, SD",46077,5850,10.5,0
"Lake, SD",46079,11092,9.8,0
"Lawrence, SD",46081,22688,13.8,2
"Lincoln, SD",46083,18196,4.7,10
"Lyman, SD",46085,3848,20.6,0
"McCook, SD",46087,5875,9.1,0
"McPherson, SD",46089,3115,16.5,0
"Marshall, SD",46091,4729,12.3,0
"Meade, SD",46093,24298,9.8,3
"Mellette, SD",46095,2004,33.4,0
"Miner, SD",46097,3151,11.8,0
"Minnehaha, SD",46099,137948,10,94
"Moody, SD",46101,6693,8.8,0
"Pennington, SD",46103,86915,13.7,39
"Perkins, SD",46105,3635,14.9,0
"Potter, SD",46107,2955,10.7,0
"Roberts, SD",46109,9944,19.8,0
"Sanborn, SD",46111,2769,14.3,0
"Shannon, SD",46113,11502,41.8,0
"Spink, SD",46115,7847,13.2,1
"Stanley, SD",46117,2766,8.5,0
"Sully, SD",46119,1591,9.1,0
"Todd, SD",46121,8831,46.7,0
"Tripp, SD",46123,6830,18.3,0
"Turner, SD",46125,8679,9.1,1
"Union, SD",46127,11305,6.3,0
"Walworth, SD",46129,6040,16.9,0
"Yankton, SD",46135,20998,10.8,2
"Ziebach, SD",46137,2444,51,0
TENNESSEE,47000,5326936,15.6,10011
"Anderson, TN",47001,71597,14.9,66
"Bedford, TN",47003,34251,13.9,39
"Benton, TN",47005,15830,20.3,1
"Bledsoe, TN",47007,10918,22.3,0
"Blount, TN",47009,97676,12.8,41
"Bradley, TN",47011,80370,14.4,43
"Campbell, TN",47013,37535,24.5,10
"Cannon, TN",47015,11573,15.2,1
"Carroll, TN",47017,28691,20.3,8
"Carter, TN",47019,54297,19.1,10
"Cheatham, TN",47021,31666,11,5
"Chester, TN",47023,14003,17.8,8
"Claiborne, TN",47025,28371,23,5
"Clay, TN",47027,7574,22.4,1
"Cocke, TN",47029,31488,21.1,25
"Coffee, TN",47031,44461,17.1,26
"Crockett, TN",47033,13837,18.3,7
"Cumberland, TN",47035,40918,16.8,11
"Davidson, TN",47037,551461,14.7,2482
"Decatur, TN",47039,11187,21.8,3
"DeKalb, TN",47041,15873,19,1
"Dickson, TN",47043,38484,13.3,19
"Dyer, TN",47045,35890,19.5,23
"Fayette, TN",47047,25257,14,12
"Fentress, TN",47049,15657,27.9,3
"Franklin, TN",47051,37232,14,9
"Gibson, TN",47053,47683,14.3,19
"Giles, TN",47055,28222,15.2,11
"Grainger, TN",47057,18662,18.7,2
"Greene, TN",47059,58444,19.2,36
"Grundy, TN",47061,13803,25.9,0
"Hamblen, TN",47063,54738,15.4,50
"Hamilton, TN",47065,300389,13.3,501
"Hancock, TN",47067,6882,39.5,1
"Hardeman, TN",47069,25890,22.1,15
"Hardin, TN",47071,24375,23.7,12
"Hawkins, TN",47073,49108,18.8,5
"Haywood, TN",47075,19776,19.8,23
"Henderson, TN",47077,23367,16,17
"Henry, TN",47079,29762,17.8,13
"Hickman, TN",47081,19379,19.4,6
"Houston, TN",47083,7764,18.4,0
"Humphreys, TN",47085,16788,14.5,3
"Jackson, TN",47087,10010,21,1
"Jefferson, TN",47089,37944,15.6,11
"Johnson, TN",47091,16633,24.5,0
"Knox, TN",47093,369171,15.7,619
"Lake, TN",47095,8350,37.9,1
"Lauderdale, TN",47097,25663,23.1,15
"Lawrence, TN",47099,38327,14.7,11
"Lewis, TN",47101,10438,18.6,2
"Lincoln, TN",47103,29386,14.5,13
"Loudon, TN",47105,35479,12,8
"McMinn, TN",47107,46069,17.9,29
"McNairy, TN",47109,23487,19.1,5
"Macon, TN",47111,17704,17.7,3
"Madison, TN",47113,85742,16.4,186
"Marion, TN",47115,26474,16.6,1
"Marshall, TN",47117,24724,15.3,16
"Maury, TN",47119,64110,13.4,83
"Meigs, TN",47121,9533,19.3,1
"Monroe, TN",47123,33976,16.2,7
"Montgomery, TN",47125,117265,11.8,144
"Moore, TN",47127,5366,11,1
"Morgan, TN",47129,18682,24.1,0
"Obion, TN",47131,32361,14.8,12
"Overton, TN",47133,18320,17.8,1
"Perry, TN",47135,7122,18.1,2
"Pickett, TN",47137,4673,20,0
"Polk, TN",47139,14763,15.7,2
"Putnam, TN",47141,57461,18.3,20
"Rhea, TN",47143,26774,17.8,6
"Roane, TN",47145,49892,14.8,33
"Robertson, TN",47147,47358,10.2,59
"Rutherford, TN",47149,150660,11.8,148
"Scott, TN",47151,19745,24.1,2
"Sequatchie, TN",47153,9862,16.4,0
"Sevier, TN",47155,61205,14.4,26
"Shelby, TN",47157,872130,18.5,4592
"Smith, TN",47159,15564,14.5,3
"Stewart, TN",47161,10803,15,1
"Sullivan, TN",47163,150022,15.7,108
"Sumner, TN",47165,117703,9.8,42
"Tipton, TN",47167,44415,13.1,24
"Trousdale, TN",47169,6484,16.4,3
"Unicoi, TN",47171,17048,15.6,0
"Union, TN",47173,15653,18.8,4
"Van Buren, TN",47175,5362,17.9,0
"Warren, TN",47177,35968,22.2,13
"Washington, TN",47179,100309,14.4,81
"Wayne, TN",47181,16270,20.7,1
"Weakley, TN",47183,33189,18.5,5
"White, TN",47185,21368,17.1,5
"Williamson, TN",47187,101424,4.9,24
"Wilson, TN",47189,77366,7.4,64
TEXAS,48000,18958751,17.5,35775
"Anderson, TX",48001,53094,22,10
"Andrews, TX",48003,13723,15.9,1
"Angelina, TX",48005,75896,19.9,47
"Aransas, TX",48007,20664,20.6,7
"Archer, TX",48009,8224,9.7,0
"Armstrong, TX",48011,2061,11,0
"Atascosa, TX",48013,33962,22.1,13
"Austin, TX",48015,21822,11.9,5
"Bailey, TX",48017,6705,18.5,0
"Bandera, TX",48019,13690,12.3,0
"Bastrop, TX",48021,45810,11.7,30
"Baylor, TX",48023,4239,18.8,0
"Bee, TX",48025,30100,29.1,3
"Bell, TX",48027,224091,13.5,309
"Bexar, TX",48029,1303692,17.1,2304
"Blanco, TX",48031,7424,10.1,0
"Borden, TX",48033,783,8.8,0
"Bosque, TX",48035,16613,15.4,2
"Bowie, TX",48037,86585,18.6,78
"Brazoria, TX",48039,215771,11.8,105
"Brazos, TX",48041,139569,29.1,136
"Brewster, TX",48043,9068,18.2,0
"Briscoe, TX",48045,1885,18.9,0
"Brooks, TX",48047,8163,35.6,8
"Brown, TX",48049,36575,20.3,12
"Burleson, TX",48051,15301,19.1,4
"Burnet, TX",48053,27410,11.4,4
"Caldwell, TX",48055,28905,19,6
"Calhoun, TX",48057,20608,17.7,3
"Callahan, TX",48059,12242,13.8,1
"Cameron, TX",48061,304928,40,260
"Camp, TX",48063,10722,19.6,7
"Carson, TX",48065,6551,8.9,0
"Cass, TX",48067,30362,19.2,14
"Castro, TX",48069,8597,22.1,0
"Chambers, TX",48071,22773,11.4,13
"Cherokee, TX",48073,43522,17.8,25
"Childress, TX",48075,7857,25.3,3
"Clay, TX",48077,10214,10.6,2
"Cochran, TX",48079,4083,27,1
"Coke, TX",48081,3623,14.7,0
"Coleman, TX",48083,9590,24.1,0
"Collin, TX",48085,352738,5.9,487
"Collingsworth, TX",48087,3407,19.6,1
"Colorado, TX",48089,19222,17.5,5
"Comal, TX",48091,63553,9.5,25
"Comanche, TX",48093,13608,20,0
"Concho, TX",48095,3520,20.9,1
"Cooke, TX",48097,33034,14.1,17
"Coryell, TX",48099,72812,14.8,26
"Cottle, TX",48101,2052,21,0
"Crane, TX",48103,4338,12.6,0
"Crockett, TX",48105,4279,18.2,2
"Crosby, TX",48107,7336,29.7,0
"Culberson, TX",48109,3230,26.2,0
"Dallam, TX",48111,6099,16.4,1
"Dallas, TX",48113,2032742,16.9,7683
"Dawson, TX",48115,15730,25.7,0
"Deaf Smith, TX",48117,19105,21.6,2
"Delta, TX",48119,4980,15.7,0
"Denton, TX",48121,338819,7.3,348
"DeWitt, TX",48123,19973,19.5,3
"Dickens, TX",48125,2704,21.8,0
"Dimmit, TX",48127,10393,31.8,3
"Donley, TX",48129,3850,19,0
"Duval, TX",48131,13173,30.6,4
"Eastland, TX",48133,18357,20.9,3
"Ector, TX",48135,121017,20,76
"Edwards, TX",48137,2531,28.8,0
"Ellis, TX",48139,94351,10.1,50
"El Paso, TX",48141,654250,29,477
"Erath, TX",48143,31148,16.7,15
"Falls, TX",48145,18436,23.7,4
"Fannin, TX",48147,27554,14.7,5
"Fayette, TX",48149,21264,11.7,1
"Fisher, TX",48151,4594,16.7,0
"Floyd, TX",48153,8084,23.3,0
"Foard, TX",48155,1712,17.7,0
"Fort Bend, TX",48157,286309,8.1,560
"Franklin, TX",48159,8744,14.7,0
"Freestone, TX",48161,17366,16.1,5
"Frio, TX",48163,15898,33.9,1
"Gaines, TX",48165,14445,19.1,2
"Galveston, TX",48167,237332,13.3,326
"Garza, TX",48169,4806,23.8,0
"Gillespie, TX",48171,19252,10.3,1
"Glasscock, TX",48173,1398,9.7,0
"Goliad, TX",48175,6159,16.8,0
"Gonzales, TX",48177,17832,20.1,5
"Gray, TX",48179,23302,16,4
"Grayson, TX",48181,100342,13.5,51
"Gregg, TX",48183,109275,17.9,144
"Grimes, TX",48185,21177,17.7,14
